Title,Product Url,Price,Brand,Rating,Units Sold,Product Description
,https://shopee.sg/-SG-Seller-Innisfree-My-real-squeeze-Mask-20ml-i.311293430.14400774391?sp_atk=ee329793-9289-4ee2-b9f6-ceefa8b134e8&xptdk=ee329793-9289-4ee2-b9f6-ceefa8b134e8,,,,,
"Kirei Kirei Anti-Bacterial Hand Wash Hand Soap, Refill 200ml Pack",https://shopee.sg/Kirei-Kirei-Anti-Bacterial-Hand-Wash-Hand-Soap-Refill-200ml-Pack-i.3272555.10786038944?sp_atk=e06540d4-2aa8-4aab-a9d4-c4ef57b6281c&xptdk=e06540d4-2aa8-4aab-a9d4-c4ef57b6281c,$1.44,Kirei Kirei,4.9,17.1k,📢 Bundle of 6 Packs - Promotion 📢
Portable Mouthwash Stick Travel Sachet Mouth Wash Spray Gargle Bad Breath Rinse Freshener Kids Friendly,https://shopee.sg/Portable-Mouthwash-Stick-Travel-Sachet-Mouth-Wash-Spray-Gargle-Bad-Breath-Rinse-Freshener-Kids-Friendly-i.15618985.10723562955?sp_atk=8321bcf7-9447-4ff8-9a89-73e06ab40b6f&xptdk=8321bcf7-9447-4ff8-9a89-73e06ab40b6f,$0.15 - $0.18,,4.9,34.6k,"[ If there is a Minimum Order Quantity, feel free to mix and match the different options ]
[ If Seller Store Pickup option is chosen, please proceed to our warehouse for collection ]**Minimum Order Quantity 20**
Please order in multiples of 20
The price stated is for 1 Stick of 10ml

Mouthwash Stick【10ml Per Stick】
● Flavor: 【Peach】【Orange】【Mint】【Watermelon】【Grape】

● Using mouthwash correctly can freshen your breath, help prevent cavities and treat gingivitis
● Mouthwash fights bacteria that cause bad breath while reducing plaque and treating gingivitis
● Alcohol-free mouthwash formula for a less intense taste
● The power to kill germs that lead to bad breath, plaque, and gum disease
● For a whole mouth clean that reaches even the hidden corners of your mouth
● Don't rinse with water immediately after using mouthwash. The cleansing properties of mouthwash continue to work after you have to spit it out, and rinsing with water will dilute the wash and minimize these effects.
● Mouthwash is not a replacement for daily brushing and flossing. Use it as part of a full dental cleaning routine."
[SG READY STOCK] Nature Republic Real Nature Mask Sheet 23ml Ship from Korea,https://shopee.sg/-SG-READY-STOCK-Nature-Republic-Real-Nature-Mask-Sheet-23ml-Ship-from-Korea-i.62211483.14630429769?sp_atk=1a8ffe63-e42e-48a9-a4ce-5a27d791928f&xptdk=1a8ffe63-e42e-48a9-a4ce-5a27d791928f,$0.68 - $1.20,Nature Republic,4.9,9.5k,"🚚  All our products are In stock
🚚  All orders will be shipped out within 36 hours

💥 Random FREE GIFT for purchase more than 50 sheets 💥

💠    9 Types: 
1. Avocado : The enhanced nourishing mask sheet. Formulated with Mexican avocado extracts.
2. Aloe Vera :The moisturising and soothing mask sheet. Formulated with Aloe extract, which contains rich moisture. Sooth and moist skin.  
3. Green tea :The moisturising and purifying mask sheet. Formulated with Bosung green tea extract.
4. Tomato : The whitening mask sheet. Formulated with Jangsoo tomato extract. 
5. Acai Berry : The firming mask sheet. This mask sheet delivers rich nourishment to the skin.
6. Bamboo : The purifying and moisturising mask sheet. Formulated with Bamboo extract.
7. Cucumber : The Enhanced moisturizing mask sheet. Fomulated with cucumber extract which delivers rich moisture to the skin. 
8. Chamomile : The enhanced nourishing mask sheet. Fomulated with Chamomile extract. 
9. Olive : The rich extract makes your skin elastic and tight. Fomulated with Rich Olive extract.

Click ""FOLLOW"" our Shop to enjoy exclusive follower vouchers 😊
Stay updated & be inform of our new arrivals !!!
#ladymavia  #sglocalbusiness"
【SG Wholesale】BISUTANG Fruit Extract Plant Extract Facial Mask Moisturiser Mask Replenishment Purifying Nourishing,https://shopee.sg/%E3%80%90SG-Wholesale%E3%80%91BISUTANG-Fruit-Extract-Plant-Extract-Facial-Mask-Moisturiser-Mask-Replenishment-Purifying-Nourishing-i.79238364.8059058314?sp_atk=11e70df5-1296-4362-a114-f3fded3aa468&xptdk=11e70df5-1296-4362-a114-f3fded3aa468,$0.32,BISUTANG,5.0,43.6k,"Description:
Ready stock in SG! We will ship within 24 hours after your purchase and you will get within 2-5 working days depending on the delivery fleets

Product Specification:
Skin Type: All Skin Type
Quantity: 1 piece
Net Content: 25g
Country/Region of Manufacture : China
Expiry Date: Please refer to packaging label

8 Options for you to choose!
1. ALOE MOISTURIZING FACIAL MASK
2. BAMBOO REFRESHING REPLENISHMENT MASK
3. GREEN TEA PURIFYING MASK
4. HONEY REPLENISHMENT CONDENSATE MASK
5. ORANGE RUN NOURISHING MASK
6. RED POMEGRANATE ESSENCE SHINY MASK
7. RICE BEAUTY NOURISHING MASK
8. ROSE ICE SKIN MASK

How to Use:
1. Cleanse your skin before applying your face mask. 
2. Remove the sheet mask from its packaging and unfold it without tearing.
3. Line up the mask with your face shape, eyes, nose, and mouth.
4. Gently press the mask to the form of your face until it’s sticking evenly.
5. Detach the mask after 10-15 minutes.
6. Gently peel the mask from your face. Take your time and don’t pull hard to remove it from your skin.
7. Once the mask is off, pat lightly by hand to absorb remaining contents.
8. Proceed with your regular skin care routine. There’s no need to rinse.

Precautions:
1. Skin test behind ear before use to check for allergy.
2. Kindly stop using if there is any discomfort.
3. For external use only, avoid contacting with eyes and damaged skin. 
4. Keep away from infants and children.

Why buy from us?
✔️We are a local Singapore seller with ready stocks available
✔️We ship out within 24 hours
✔️We reply to all chat messages and inquiries
✔️We check our items for quality assurance
✔️Support the local SG seller community

#bisutang #facialmask #facial #mask #localsgseller #sgseller #supportlocal #supportsg #moisturizer #aloevera #bamboo #greentea #honey #orange #redpomegranate #pomegranate #rice #rose #essence #replenishment #purifying #nourishing #shiny"
[COSRX OFFICIAL] Acne Pimple Master Patch (24 Patches) / AC Collection Acne Patch (26 Patches) / Clear Fit Master Patch (18 Patches),https://shopee.sg/-COSRX-OFFICIAL-Acne-Pimple-Master-Patch-(24-Patches)-AC-Collection-Acne-Patch-(26-Patches)-Clear-Fit-Master-Patch-(18-Patches)-i.116704504.5582104613?sp_atk=8ccacbd1-4a21-4856-a4c8-ad3f15e407fa&xptdk=8ccacbd1-4a21-4856-a4c8-ad3f15e407fa,$2.48 - $7.08,COSRX,4.9,26.3k,The products you ordered will be shipped directly from the COSRX headquarters of Korea.✈️
"The Ordinary - Bestsellers - Niacinamide, Hyaluronic, Caffeine, Alpha Arbutin, Glycolic, Buffet, NMF, Salicylic, Retinol",https://shopee.sg/The-Ordinary-Bestsellers-Niacinamide-Hyaluronic-Caffeine-Alpha-Arbutin-Glycolic-Buffet-NMF-Salicylic-Retinol-i.641249.1768769438?sp_atk=723ce4cf-6f91-4865-bcf9-e8c40c00080c&xptdk=723ce4cf-6f91-4865-bcf9-e8c40c00080c,$8.53 - $47.75,The Ordinary,5.0,52.3k,"The Ordinary Bestsellers!

You may browse for other The Ordinary products at https://shopee.sg/hushsg 

Authentic & Reliable
• Our prices may not be the lowest but we take great care to ensure that the products we avail for purchase are authentic. We are a registered company in Singapore, and are committed to being accountable for the authenticity of the products we sell.

List of The Ordinary products that we sell:
1100% Cold-Pressed Virgin Marula Oil - 30ml
100% L-Ascorbic Acid Powder - 20g
100% Niacinamide Powder - 20g
100% Organic Cold-Pressed Borage Seed Oil - 30ml
100% Organic Cold-Pressed Moroccan Argan Oil - 30ml
100% Organic Cold-Pressed Rose Hip Seed Oil  - 30ml
100% Organic Virgin Chia Seed Oil - 30ml
100% Plant-Derived Hemi-Squalane - 30ml
100% Plant-Derived Squalane - 30ml
Alpha Arbutin 2% + HA - 30ml
Amino Acids + B5 - 30ml
Argireline Solution 10% - 30ml
Ascorbic Acid 8% + Alpha Arbutin 2% - 30ml
Ascorbyl Glucoside Solution 12% - 30ml
Ascorbyl Tetraisopalmitate Solution 20% in Vitamin F - 30ml
Behentrimonium Chloride 2% Conditioner - 240ml
""B"" Oil - 30ml
Buffet - 30ml
Buffet - 60ml
""Buffet"" + Copper Peptides 1% - 30ml
Caffeine Solution 5% + EGCG - 30ml
Dropper - 1pc
Ethylated Ascorbic Acid 15% Solution - 30ml
EUK 134 0.1% - 30ml
Glycolic Acid 7% Toning Solution - 240ml
Granactive Retinoid 2% Emulsion - 30ml
Granactive Retinoid 2% in Squalane - 30ml
Granactive Retinoid 5% in Squalane - 30ml
High-Adherence Silicone Primer - 30ml
High-Spreadability Fluid Primer - 30ml
Hyaluronic Acid 2% + B5 - 30ml
Hyaluronic Acid 2% + B5 - 60ml
Lactic Acid 10% + HA - 30ml
Lactic Acid 5% + HA - 30ml
Magnesium Ascorbyl Phosphate 10% - 30ml
Mandelic Acid 10% + HA - 30ml
Marine Hyaluronics - 30ml
Matrixyl 10% + HA - 30ml
Mineral UV Filters SPF 15 with Antioxidants - 50ml
Mineral UV Filters SPF 30 with Antioxidants - 50ml
Multi-Peptide Serum for Hair Density - 60ml
Natural Moisturizing Factors + HA - 30ml
Natural Moisturizing Factors + HA - 100ml
Natural Moisturizing Factors + HA for Scalp - 60ml
Niacinamide 10% + Zinc 1% - 30ml
Niacinamide 10% + Zinc 1% - 60ml
Niacinamide 10% + Zinc 1% (Korea Retail Version) - 30ml
Pycnogenol 5% - 15ml
Resveratrol 3% + Ferulic Acid 3% - 30ml
Retinol 0.2% in Squalane - 30ml
Retinol 0.5% in Squalane - 30ml
Retinol 1% in Squalane - 30ml
Salicylic Acid 2% Masque - 50ml
Salicylic Acid 2% Solution - 30ml
Squalane Cleanser - 30ml
Squalane Cleanser - 150ml
Sulphate 4% Cleanser for Body and Hair - 240ml
Vitamin C Suspension 23% + HA Spheres 2% - 30ml
Vitamin C Suspension 30% in Silicone - 30ml"
Foot Detox Patch Lao Beijing Feet Patches Herbal Plaster Pad Detoxification Mask Spa Bath Soak Ginger,https://shopee.sg/Foot-Detox-Patch-Lao-Beijing-Feet-Patches-Herbal-Plaster-Pad-Detoxification-Mask-Spa-Bath-Soak-Ginger-i.15618985.10905625823?sp_atk=d3bc01e0-cfc8-414b-8b56-a85116aa8904&xptdk=d3bc01e0-cfc8-414b-8b56-a85116aa8904,$0.11,,4.9,21.8k,"[ If there is a Minimum Order Quantity, feel free to mix and match the different options ]
[ If Seller Store Pickup option is chosen, please proceed to our warehouse for collection ]

【Foot Detox Patch】

Per Qty Order is for 1 Patch
Minimum Order Qty is 50 patches
Order in multiples of 50, 100, 150, 200, 250, 300

The primary effect of the foot detox patch is detoxification. The patches will absorb your toxins after using them for the whole night. You can see that from the changing of the color after using it. 

The dirtier you see the footpad, the more toxins it has absorbed. After consistently using for a period, they will become cleaner each morning. 

That means most of the toxins in your body have been released already. Apart from your feet, you can also apply these detox foot pads onto other parts of your body, including the back, knees, elbows, etc.

Benefits of the Detox Foot Pads:
● Release unwanted toxins.
● Increase your energy level.
● Reduce aches, pains, headaches, & tiredness.
● Relieve stress.
● Improve your metabolism.
● Improve your blood circulation.
● Improve weight loss.
● Totally discreet - Works while you sleep.
● Simple and Easy to use."
[SG READY STOCK!] BISUTANG Plant Fruit Extract Peel Off Facial Sheet Mask,https://shopee.sg/-SG-READY-STOCK!-BISUTANG-Plant-Fruit-Extract-Peel-Off-Facial-Sheet-Mask-i.298190389.7447973937?sp_atk=5a698d26-a6ec-41ce-bb17-1a06220dfbf4&xptdk=5a698d26-a6ec-41ce-bb17-1a06220dfbf4,$0.32,BISUTANG,4.9,58.9k,"👋Hello. Welcome to ApplePine!

💖Daily Skincare Routine for Healthy Skin💖

❤️Product Introduction:❤️
BISUTANG Plant Fruit Extract Facial Sheet Mask (One-time Mask)
• Tencel Material
• Moisturizing, Nourishing, Hydrating
• Suitable For All Skin Type
• 1 Piece Per Pack
• Net Content 25ml
• Manufactured In China
• Best Before Date Refer Packing Label
• 8 Options
1. ALOE MOISTURIZING FACIAL MASK
2. BAMBOO REFRESHING REPLENISHMENT MASK
3. GREEN TEA PURIFYING MASK
4. HONEY REPLENISHMENT CONDENSATE MASK
5. ORANGE RUN NOURISHING MASK
6. RED POMEGRANATE ESSENCE SHINY MASK
7. RICE BEAUTY NOURISHING MASK
8. ROSE ICE SKIN MASK


❤️How to Use:❤️
1. Cleanse your skin before applying your face mask
2. Remove the sheet mask from its packaging and unfold it without tearing
3. Line up the mask with your face shape, eyes, nose, and mouth
4. Gently press the mask to the form of your face until it’s sticking evenly
5. Detach the mask after 10-15 minutes
6. Gently peel the mask from your face. Take your time and don’t pull hard to remove it from your skin
7. Once the mask is off, pat lightly by hand to absorb remaining contents
8. Proceed with your regular skin care routine. There’s no need to rinse


❤️Precautions:❤️
1. Skin test behind ear before use
2. Keep away from infant and children
3. If there is any discomfort, kindly stop using
4. Not edible, for external use only, avoid contact with eyes and damaged skin
5. Store in a cool place, avoid high temperature and direct sunlight


Thank you🤟"
Laurier Sanitary Pads Super Slimguard / Relax Night / Pantyliner [Mix],https://shopee.sg/Laurier-Sanitary-Pads-Super-Slimguard-Relax-Night-Pantyliner-Mix--i.323430152.8645933579?sp_atk=28706c92-1827-498d-8894-1980be496faf&xptdk=28706c92-1827-498d-8894-1980be496faf,$1.65 - $3.25,Laurier,4.9,10.5k,"Price For 1 Pack

Laurier Super Slimguard
Amazingly absorbent yet comfortable and thin. Laurier Super Slimguard has exceptional absorbency, comfort and protection, all with 0.1cm ultra thinness. You are now free to pursue the activities you love and enjoy a good night's sleep even during heavy flow days! Be fearless 24/7!

0.1cm Thin Ultra Absorbent Sheet
It's so thin and comfortable that you barely feel it's there! Enjoy the freedom to wear whatever you want and feel confident and look fabulous even during that time of the month.

200x Ultra Absorbent
No flow is ever too heavy for this ultra absorbent sheet which can absorb 200x of fluid.

Speedy Absorbency
Enhanced with Japan's slit-core technology, it absorbs and lock in liquid instantly even during sudden gushes.

Ultra Dryness With High Breathability
Feel and stay comfortable with a quick dry surface that reduces up to 80%* of fluids on the surface

* Comparison with our company's previous range.

Super Ultra Slim 17cm, 20s
Super Slimguard 22.5cm, 20s
Super Slimguard 22.5cm with Safety Gathers, 14s
Super Slimguard 25cm, 16s
Super Slimguard 30cm, 14s
Super Slimguard 35cm, 8s

Laurier Active Day

Slim Non-Wing 22cm, 28s
Slim Wing 22cm, 28s
Maxi Wing 22cm, 20s
Maxi Non-Wing 22cm, 20s

Laurier Cleanfresh Slim Pantyliners
Helps you stay fresh and clean throughout the day with an Air Breathable Sheet and a ""Stay-Dry"" Surface.

Non-Perfumed, 40s
Perfumed (Fresh Floral), 40s"
Dr Plant Facial Mask Alpine Plants Extract Face Mask Skincare Mask Natural/Moisturizing/Brightening/Anti-Aging 26ml 1p,https://shopee.sg/Dr-Plant-Facial-Mask-Alpine-Plants-Extract-Face-Mask-Skincare-Mask-Natural-Moisturizing-Brightening-Anti-Aging-26ml-1p-i.316157651.3856844275?sp_atk=15ccc361-d65c-4e1d-9631-2586b8833953&xptdk=15ccc361-d65c-4e1d-9631-2586b8833953,$1.40 - $3.35,DR PLANT,5.0,62.2k,"About Dr Plant

Since time immemorial, Chinese ladies of the imperial courts have known and valued the almost magical beauty-enhancing powers of rare Chinese herbs. Inspired by this centuries old tradition, DR PLANT concentrates on the cultivation, protection and research of these rare herbs, which are called in Chinese “Herbs of Immortality”. While we focus on exclusively using pure, natural ingredients, we combine the power of long-treasured Chinese “Herbs of Immortality” with the newest scientific research as well as Japanese technology to explore and reveal the ancient Chinese beauty secrets for the modern woman of today.

Dr Plant Natural Facial Mask / Dendrobium 1 Pcs
*【Natural Dendrobium Ingredients】The masks are infused with extracts of the dendrobium orchid natural botanical ingredients, which can moisturize, nourish, sooth and hydrate your skin.
*【Moisturizing & Anti-aging Face Mask】The masks are infused with yeast fermentation products which instantly hydrate and moisturize dry skin and stimulate collagen production.
*【Fit For a Variety of Skin Conditions】It is truly one size fits all. Suitable for a variety of skin conditions (Dry, Oily, Sensitive and Tired Skin)
*【Unique Fiber Technology】The masks are with Ultra-thin and extremely soft natural fiber cotton mask cloth.
*【Easy To Apply】After cleansing and toning your skin, unfold a single face mask sheet and gently spread it over your face, then peel off the protective layer. Leave on for 10-20 minutes, then remove the mask, gently patting your skin until the remaining serum is fully absorbed.

【Dendrobium Mask】
Targeting: 1. Dull skin, which is usually caused by staying up late.
                   2. Pre-mature skin which begins to age, and fine lines appear.

Effect: Data shows that continuous use it for 30 days: firming +12%, elasticity +42%, fine lines -21% and moisture +96% 

【Charcoal Mask】
Targeting: large pores, excessive oil, poor absorption, rough skin, skin with dark and yellow tone

Effect: The mask cloth is made of Binchyotan Charcoal, which is fine and porous, can effectively absorb impurities in the pores and promote nutrient absorption.

【Centella Mask】
Targeting: sensitive skin: thin cuticles, bloodshot skin.
         Peeling when in the change of seasons or after sunburn.
         Acne/ itching caused by wearing mask for a long time

Effect: Soothing: quickly soothes dry and sensitive skin
      Repairing: Repair skin redness, itching and tingling
      Keep balance: long-term use to stabilize the skin condition

【Snow Lotus Mask】
Recommended for: people have pigmentation or uneven skin tone as the age grows
                 people who usually expose to the scorching sun and have a dark complexion
                 people who often stay up late and have dull and rough skin

Effect: snow lotus for brightening; nicotinamide for suppressing dullness; 4 levels of hyaluronic acid for moisturizing and shiny

【Cordyceps Mask】
Recommended for: people over 35 years old and have mature skin

Targeting: collagen loss, inelasticity and wrinkles

Effect: deep nourishment, reduce lines, improve elasticity and skin tone
How to use:
Step 1 - Freshen your skin with toner after washing your face
Step 2 - Open pouch and place it on your face evenly
Step 3 - Leave the mask sheet on your face for 15-20 minutes
Step 4 - Remove the sheet. Gently tap your face to let the remaining contents absorb into your skin
 
Note:
1. Stop using if it causes any allergic reaction or any problems arising. 
2. Do not use on scars or any area of skin irritation. 
3. Avoid storing in high temperatures or exposed to direct sunlight. "
